Event/Description,EstMH (All),Interval,MH_j,max_interval
EO-VSB-71-0002/W1568366 /POWERPLANT- FAN COWL DOORS - INTRODUCTION OF LOW-PROFILE LATCH,0 days 01:30:00,Before 31.Dec.2024,1.5,200
EOD-25-0017/W949826 /EQUIPMENT AND FURNISHINGS - CABIN INTERIOR LAMINATE REPLACEMENT,0 days 08:00:00,Before 31.Dec.2025,8.0,200
EOD-25-0017/W949830 /EQUIPMENT AND FURNISHINGS - CABIN INTERIOR LAMINATE REPLACEMENT,0 days 08:00:00,Before 31.Dec.2025,8.0,200
EOD-25-0017/W949831 /EQUIPMENT AND FURNISHINGS - CABIN INTERIOR LAMINATE REPLACEMENT,0 days 08:00:00,Before 31.Dec.2025,8.0,200
EOD-25-0041/W1684665 /A320 FAMILY - INSTALLATION OF PITOT COVER STOWAGE POUCH,0 days 02:09:00,Before 31.Dec.2025,2.15,200
EOD-25-0041/W1684666 /P60523 /A320 FAMILY - INSTALLATION OF PITOT COVER STOWAGE POUCH,0 days 02:09:00,Before 31.Dec.2025,2.15,200
HE32-242100-17-1-02 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.2 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
REPLACE DVE90-07/17238/W1406717 (VALVE-SOLENOID),0 days 02:00:00,,2.0,200
REPLACE MF20-534/B159320/W279679 (MASK-FULL FACE QUICK DONNING),0 days 02:00:00,,2.0,200
REPLACE MF20-534/B159391/W279682 (MASK-FULL FACE QUICK DONNING),0 days 02:00:00,,2.0,200
"HE32-255000-16-1 (R0004) / DETAILED INSPECTION OF DIVIDER NETS, DOOR NETS AND NET ATTACHMENT POINTS",0 days 00:42:00,1'000,0.7,200
EO-PW-73-0020/REPETITIVE REPLACEMENT OF THE MAIN FUEL FILTER (PW1100G),0 days 04:00:00,1'700,4.0,200
HE32-25-SCME-080 (R0004) / INSPECTION OF COCKPIT AND CABIN,0 days 08:00:00,1'000,8.0,200
HE32-256241-01-1 (R0003) / CHECK OF THE DOOR / EMERGENCY EXIT / OFFWING ESCAPE SLIDE/RAFT INFLATION RESERVOIR PRESSURE,0 days 00:52:00,1'000,0.8666666666666667,200
